aX,aY,aZ,gX,gY,gZ
-0.361,0.022,-0.537,-26.184,82.031,-113.892
-0.411,-0.066,-0.641,-60.913,54.016,-101.501
-0.41,-0.169,-0.624,-69.397,39.551,-100.098
-0.361,-0.335,-0.627,-68.848,24.17,-105.713
-0.331,-0.469,-0.633,-62.195,6.348,-113.586
-0.284,-0.543,-0.645,-50.537,-10.498,-116.455
-0.243,-0.599,-0.654,-38.025,-25.574,-114.075
-0.21,-0.696,-0.673,-24.719,-58.228,-104.919
-0.28,-0.756,-0.703,-28.442,-73.547,-99.976
-0.337,-0.752,-0.72,-40.649,-89.966,-91.309
-0.365,-0.783,-0.735,-59.814,-110.229,-77.82
-0.375,-0.843,-0.703,-84.717,-134.521,-65.979
-0.347,-0.848,-0.57,-112.122,-160.889,-55.542
-0.286,-0.955,-0.42,-137.817,-188.354,-39.795
-0.307,-1.22,-0.189,-158.569,-210.693,-17.7
-0.226,-1.458,0.207,-164.429,-223.083,9.827
-0.101,-1.331,0.814,-130.859,-238.647,76.843
-0.143,-1.112,0.953,-91.248,-244.324,90.881
-0.023,-0.874,1.215,-31.86,-238.464,99.365
-0.108,-0.604,1.79,-59.082,-187.988,149.841
0.02,-0.54,2.078,-54.749,-176.086,162.231
0.214,-0.368,2.378,-0.183,-151.001,172.668
0.254,-0.23,2.353,29.114,-135.193,170.837
0.191,-0.058,2.171,46.082,-114.868,165.771
0.01,0.239,1.823,14.526,-75.439,165.405
-0.119,0.248,1.769,-14.832,-58.777,171.082
-0.282,0.315,1.771,-38.452,-45.715,183.594
-0.191,0.657,2.259,9.583,-35.4,200.378
-0.204,0.798,2.243,45.898,-26.001,187.561
-0.248,0.948,2.2,64.514,-10.681,176.819
-0.293,1.041,2.118,66.65,7.812,169.312
-0.378,1.151,2.089,53.04,26.001,162.476
-0.513,1.21,2.069,33.02,40.894,157.043
-0.596,1.199,2.108,15.076,50.903,154.175
-0.605,1.223,2.24,3.723,59.448,151.001
-0.579,1.297,2.392,8.24,68.909,143.799
-0.548,1.363,2.455,26.917,80.017,132.935
-0.657,1.511,2.56,46.021,92.468,120.911
-0.693,1.567,2.546,59.265,103.516,107.422
-0.718,1.703,2.209,73.242,117.92,87.219
-0.727,1.681,2.123,77.271,140.442,77.698
-0.72,1.744,1.999,51.392,173.645,54.81
-0.693,1.716,1.942,19.47,193.97,37.17
-0.66,1.685,1.623,11.902,186.951,25.574
-0.674,1.621,1.377,10.559,178.894,5.554
-0.555,1.568,1.268,12.573,175.11,-8.85
-0.521,1.519,1.163,17.639,170.288,-20.264
-0.53,1.479,1.047,22.949,163.879,-30.09
-0.479,1.47,1.036,19.958,160.339,-41.809
-0.445,1.429,1.051,11.23,160.217,-52.124
-0.45,1.258,0.963,-12.817,164.49,-69.702
-0.439,1.136,0.877,-24.353,169.678,-74.951
-0.422,1.026,0.77,-32.532,172.791,-76.965
-0.419,1.057,0.707,-34.851,173.401,-79.163
-0.623,1.051,0.416,-29.48,165.771,-84.778
-0.68,1.031,0.248,-35.828,146.973,-91.187
-0.619,0.918,0.176,-40.71,131.409,-107.788
-0.496,0.642,0.018,-38.757,97.961,-132.446
-0.446,0.549,-0.013,-39.978,82.275,-136.78
-0.414,0.467,-0.038,-40.039,69.031,-138.855
-0.439,0.329,-0.152,-39.185,57.434,-142.822
-0.456,0.184,-0.266,-40.466,48.889,-148.071
-0.433,0.038,-0.316,-41.26,43.884,-150.391
-0.402,-0.044,-0.362,-34.058,41.687,-148.376
-0.367,-0.133,-0.418,-21.484,39.917,-141.968
-0.379,-0.216,-0.412,-15.198,34.18,-134.949
-0.403,-0.266,-0.426,-16.235,20.264,-129.456
-0.383,-0.225,-0.42,-26.062,0.793,-123.962
-0.345,-0.278,-0.402,-36.377,-14.893,-122.437
-0.306,-0.4,-0.438,-49.072,-30.212,-119.934
-0.265,-0.494,-0.449,-68.604,-46.692,-109.314
-0.203,-0.569,-0.443,-85.938,-63.782,-95.947
-0.222,-0.648,-0.475,-86.243,-88.501,-85.571
-0.248,-0.747,-0.515,-78.491,-99.609,-83.374
-0.273,-0.872,-0.533,-74.585,-111.389,-79.834
-0.346,-1.165,-0.246,-78.735,-168.762,-33.325
-0.279,-1.175,0.012,-80.505,-189.209,-16.968
-0.139,-1.155,0.255,-73.669,-198.669,-7.446
-0.006,-1.098,0.435,-59.998,-202.393,-3.479
0.03,-1.029,0.505,-49.255,-203.247,0.549
-0.007,-0.941,0.576,-49.927,-197.693,9.766
-0.042,-0.942,0.762,-56.213,-186.279,24.658
-0.117,-0.955,0.948,-62.195,-177.124,41.809
-0.114,-1.054,1.156,-69.397,-167.664,64.514
-0.038,-1.07,1.36,-70.984,-145.874,121.155
0.03,-0.928,1.408,-58.167,-140.015,132.324
0.046,-0.791,1.424,-39.307,-136.23,141.663
-0.16,-0.675,1.418,-22.766,-134.888,150.94
-0.31,-0.542,1.605,-13.306,-130.737,165.588
-0.258,-0.3,1.988,-3.601,-122.07,180.481
-0.107,-0.109,2.375,15.869,-116.638,190.735
0.005,0.044,2.627,41.809,-111.694,190.613
0.042,0.154,2.706,62.5,-98.633,181.58
0.042,0.269,2.716,70.923,-76.904,172.791
0.037,0.444,2.753,67.993,-49.194,168.518
-0.164,0.75,2.536,56.396,9.399,153.809
-0.311,0.78,2.358,49.622,30.884,146.301
-0.425,0.781,2.217,35.767,40.527,143.738
-0.46,0.76,2.092,18.25,40.955,148.743
-0.467,0.829,2.082,7.996,41.382,151.733
