aX,aY,aZ,gX,gY,gZ
0.251,0.225,1.057,-6.897,7.324,19.165
0.243,0.274,1.048,-10.01,1.526,19.226
0.197,0.331,1.022,-11.047,-2.38,19.043
0.158,0.375,1.022,-9.766,-3.967,18.127
0.118,0.423,1.03,-6.897,-5.676,14.526
0.065,0.488,1.057,-3.784,-8.179,8.057
0.033,0.537,1.076,-1.709,-9.46,0.916
0.004,0.573,1.119,-0.366,-12.939,-5.859
-0.017,0.616,1.165,1.587,-19.531,-10.986
-0.011,0.666,1.221,-0.305,-26.062,-14.526
0.017,0.698,1.254,-9.338,-29.419,-17.151
-0.016,0.701,1.255,-23.437,-29.724,-17.883
-0.02,0.707,1.228,-39.368,-26.428,-18.921
-0.031,0.715,1.155,-52.368,-23.682,-23.132
-0.039,0.715,1.15,-59.57,-26.367,-27.1
-0.075,0.682,1.082,-60.303,-30.151,-30.273
-0.112,0.625,1.065,-57.983,-28.931,-34.485
-0.134,0.551,1.057,-53.223,-20.081,-38.574
-0.12,0.505,0.964,-51.636,-9.705,-40.649
-0.092,0.478,0.876,-51.025,-7.751,-42.542
-0.08,0.437,0.822,-41.565,-16.052,-47.546
-0.058,0.421,0.812,-31.067,-29.358,-54.993
0.039,0.48,0.84,-22.522,-42.786,-63.416
0.103,0.529,0.875,-12.756,-57.983,-72.754
0.16,0.493,0.857,-1.831,-67.017,-78.918
0.194,0.432,0.841,7.996,-65.125,-77.332
0.249,0.339,0.809,21.118,-56.824,-66.101
0.159,0.195,0.85,37.781,-49.5,-47.119
-0.147,0.113,0.895,52.185,-43.213,-32.837
-0.188,0.235,0.948,57.007,-27.344,-48.401
-0.102,0.495,1.039,48.889,-13.794,-82.947
-0.142,0.592,1.046,38.818,-20.264,-107.056
-0.165,0.336,0.846,27.283,-43.945,-106.689
-0.431,-0.138,0.753,15.32,-72.083,-78.674
-0.988,-0.813,0.505,16.968,-94.177,-31.616
-1.381,-1.625,0.198,37.415,-98.999,7.446
-1.695,-2.588,0.172,90.027,-91.736,18.433
-1.536,-3.911,0.069,176.88,-61.707,-13.062
-1.076,-4.0,0.332,228.088,5.798,-106.262
0.292,-4.0,0.983,227.112,97.168,-238.77
1.607,-3.229,1.25,180.115,173.462,-332.581
2.351,-2.199,0.759,108.276,231.323,-304.993
2.436,-1.318,0.197,28.687,300.476,-179.138
2.193,-0.864,-0.203,-21.179,354.858,-31.189
1.66,-0.656,-0.4,-24.902,336.609,84.839
1.035,-0.661,-0.262,7.507,230.347,156.189
0.463,-0.746,0.208,48.584,73.364,182.678
0.027,-0.875,0.768,68.054,-71.411,175.903
-0.23,-0.994,1.186,56.519,-171.814,149.353
-0.359,-1.02,1.361,28.503,-215.82,122.375
-0.436,-0.896,1.325,-9.949,-199.219,108.215
-0.474,-0.785,1.093,-49.561,-147.522,105.652
-0.437,-0.759,0.861,-68.909,-98.022,102.539
-0.403,-0.691,0.683,-64.88,-70.007,95.398
-0.355,-0.637,0.582,-49.133,-57.495,88.745
-0.312,-0.621,0.595,-33.63,-44.373,82.764
-0.319,-0.56,0.636,-22.217,-38.696,72.144
-0.363,-0.521,0.691,-13.489,-43.64,54.138
-0.408,-0.517,0.736,-5.676,-53.955,27.954
-0.379,-0.622,0.785,3.296,-63.599,-2.319
-0.267,-0.654,0.916,11.536,-67.627,-26.245
-0.164,-0.687,1.004,10.254,-68.359,-35.583
-0.1,-0.748,1.023,-0.183,-67.139,-31.189
-0.101,-0.731,0.992,-13.916,-60.181,-18.555
-0.1,-0.713,0.981,-22.461,-43.823,-3.967
-0.1,-0.679,0.945,-23.254,-27.405,8.606
-0.094,-0.604,0.904,-20.63,-12.268,19.958
-0.141,-0.525,0.912,-14.893,8.911,29.541
-0.165,-0.476,0.885,-7.141,29.297,34.058
-0.124,-0.466,0.848,-3.723,39.734,31.311
-0.042,-0.468,0.808,-4.456,38.208,25.696
0.015,-0.475,0.796,-5.554,27.161,24.658
0.04,-0.481,0.786,-6.836,13.245,26.733
0.059,-0.43,0.765,-9.399,3.357,28.381
0.047,-0.378,0.775,-9.094,-0.305,29.053
0.055,-0.307,0.789,-5.005,-0.061,28.32
0.091,-0.247,0.789,-1.831,4.7,23.132
0.148,-0.213,0.776,0.977,10.62,14.832
0.221,-0.187,0.761,4.272,14.648,10.071
0.27,-0.176,0.729,7.019,12.268,11.292
0.299,-0.192,0.704,8.728,2.563,17.029
0.287,-0.206,0.73,12.451,-7.568,25.269
0.239,-0.193,0.791,18.921,-13.916,33.264
0.177,-0.156,0.86,26.123,-15.686,38.696
0.141,-0.122,0.931,32.227,-13.733,41.443
0.139,-0.101,0.998,36.255,-9.766,40.527
0.13,-0.053,1.031,36.133,-4.333,36.682
0.119,-0.022,1.037,33.142,3.723,32.166
0.155,0.075,0.998,27.771,7.812,26.489
0.144,0.023,0.95,30.029,2.014,27.71
0.138,0.019,0.992,34.546,-3.845,27.1
0.111,0.046,1.077,40.344,-5.249,26.062
0.081,0.032,1.143,43.03,-2.014,25.635
0.099,0.012,1.194,42.053,4.333,24.841
0.125,0.042,1.241,40.405,11.963,24.353
0.114,0.067,1.261,37.354,19.958,27.1
0.096,0.042,1.198,31.433,27.161,31.86
0.109,0.052,1.172,26.917,34.729,34.058
0.109,0.084,1.151,25.208,41.077,34.058
0.112,0.116,1.118,22.766,45.349,34.18
0.112,0.122,1.078,19.348,45.593,35.522
0.117,0.102,1.037,15.991,40.527,36.56
0.12,0.104,1.038,13.184,32.837,36.316
0.11,0.062,1.03,11.536,25.574,35.583
0.13,0.04,1.056,9.888,20.142,33.447
0.158,0.055,1.102,10.071,16.418,31.799
0.175,0.063,1.119,10.925,14.954,33.63
0.156,0.083,1.142,9.766,16.174,37.292
0.115,0.084,1.121,7.874,19.958,39.917
0.091,0.128,1.129,4.639,27.771,37.598
