aX,aY,aZ,gX,gY,gZ
0.068,-0.139,2.333,-26.489,87.952,10.681
0.074,-0.066,2.293,-35.278,88.867,19.714
0.095,0.038,2.281,-40.161,87.708,23.254
0.065,0.224,2.296,-44.678,87.463,22.339
0.103,0.362,2.346,-47.913,89.539,14.221
0.179,0.37,2.353,-47.791,95.764,0.061
0.193,0.298,2.171,-50.903,118.408,-17.456
0.107,0.221,2.007,-52.734,131.775,-20.569
0.021,0.09,1.8,-53.589,143.738,-25.757
-0.008,-0.051,1.615,-53.589,150.391,-30.457
-0.025,-0.158,1.487,-52.429,150.757,-29.297
-0.077,-0.287,1.352,-43.274,149.78,-24.78
-0.116,-0.363,1.223,-27.344,148.865,-15.869
-0.155,-0.293,1.145,-10.681,148.193,-6.287
-0.275,-0.162,1.023,6.897,146.484,-4.211
-0.402,0.094,0.945,13.0,137.939,-6.958
-0.308,0.234,0.996,6.836,127.258,-19.287
-0.214,0.252,1.008,-3.479,124.695,-37.17
-0.201,0.176,0.955,-25.757,129.7,-46.692
-0.203,-0.005,0.852,-54.138,139.709,-50.232
-0.253,-0.194,0.656,-77.148,150.33,-50.476
-0.324,-0.371,0.393,-91.553,155.09,-45.593
-0.341,-0.423,0.115,-97.717,152.954,-37.781
-0.377,-0.352,-0.144,-93.567,145.996,-30.701
-0.415,-0.321,-0.381,-76.233,136.963,-27.954
-0.42,-0.37,-0.575,-53.833,127.93,-30.029
-0.385,-0.383,-0.716,-38.269,115.54,-31.677
-0.369,-0.379,-0.824,-31.982,99.792,-31.494
-0.334,-0.391,-0.858,-29.663,83.862,-31.128
-0.242,-0.424,-0.824,-25.269,69.336,-29.846
-0.135,-0.456,-0.781,-15.991,56.641,-26.978
-0.096,-0.451,-0.795,-3.723,46.936,-20.874
-0.105,-0.359,-0.843,8.85,40.222,-11.78
-0.113,-0.252,-0.899,22.461,35.034,-4.517
-0.121,-0.242,-0.964,35.339,27.466,-0.671
-0.065,-0.185,-0.918,36.621,4.822,13.306
-0.061,-0.199,-0.927,37.354,-5.005,19.897
-0.051,-0.201,-0.932,40.71,-13.245,23.743
0.003,-0.2,-0.964,59.631,-32.837,30.945
0.019,-0.133,-0.939,72.021,-42.297,35.522
-0.016,-0.026,-0.927,81.604,-51.697,38.879
-0.177,0.121,-0.958,85.144,-71.96,41.809
-0.253,0.184,-0.97,86.975,-83.191,38.086
-0.271,0.219,-0.937,89.539,-96.802,32.349
-0.311,0.162,-0.951,95.581,-118.469,14.404
-0.376,0.058,-0.993,93.689,-130.005,3.235
-0.504,-0.479,-0.359,35.889,-177.246,12.756
-0.556,-0.477,-0.005,29.785,-195.557,24.292
-0.362,-0.056,1.205,99.792,-222.656,19.348
-0.295,0.101,1.491,119.69,-220.032,2.808
-0.202,0.299,1.838,114.197,-210.815,-6.287
-0.199,0.344,2.083,79.712,-206.726,-6.531
