aX,aY,aZ,gX,gY,gZ
-0.054,-0.044,0.956,5.981,-0.183,2.747
-0.055,-0.044,0.956,5.859,-0.183,2.686
-0.056,-0.044,0.957,5.92,-0.122,2.686
-0.056,-0.043,0.955,5.798,0.0,2.808
-0.056,-0.044,0.956,5.859,-0.061,2.808
-0.055,-0.044,0.956,5.798,-0.183,2.808
-0.055,-0.044,0.956,5.798,0.0,2.747
-0.055,-0.045,0.956,5.737,-0.061,2.747
-0.053,-0.043,0.956,5.981,-0.061,2.869
-0.055,-0.044,0.956,5.981,-0.122,2.747
-0.056,-0.044,0.956,5.981,-0.122,2.686
-0.055,-0.044,0.955,5.859,-0.122,2.686
-0.055,-0.044,0.956,5.798,-0.244,2.686
-0.055,-0.044,0.956,5.981,-0.122,2.747
-0.055,-0.044,0.955,5.737,-0.122,2.808
-0.054,-0.044,0.957,5.737,-0.244,2.686
